$\rho_A$	Uniform	0	1	0.8005961151696119	0.07155303008369122	0.6706388461570174	0.9092200792929305
$\rho_\mu$	Uniform	0	1	0.04909724305487911	0.04907528501771412	0.0028127180239318735	0.1493878997209377
$\rho_g$	Uniform	0	1	0.8850504245013666	0.035366905734567446	0.8155865980271071	0.9344566807847043
$\rho_R$	Uniform	0	1	0.7589304601079739	0.06458553777881154	0.6434605833776621	0.8574642290813084
$\rho_\pi$	Normal	1.5	0.75	1.9566377872532477	0.6369482446002923	1.1145176447439151	3.180079272118034
$\rho_y$	Normal	0.5	0.75	0.6902682775147883	0.18061387964710113	0.451421327038933	1.0140324162554957
$\psi$	Uniform	0	1	0.8703885277164389	0.03861464770433175	0.8040013695174603	0.9303049381311068
$\sigma_A$	IGamma	0.1	4	0.12330053590656226	0.013816197429138418	0.10250794368348835	0.14862038151049364
$\sigma_\mu$	IGamma	0.1	4	0.26357721113158805	0.03113140894512188	0.2156799786975055	0.3161563295701485
$\sigma_g$	IGamma	0.1	4	4.059877437077092	0.938393077814802	2.7626485261561764	5.733320569766242
$\sigma_m$	IGamma	0.1	4	0.08003579318649585	0.01146342648754161	0.06361478563183734	0.10017117049587343
