	Std. Dev.	$Cor(Y,.)$	Std. Dev.	$Cor(Y,.)$
$Y$	0.5050499252823394	1	0.3785574074487936	1
$n$	0.31954469746809205	0.9304327953546988	0.42232682966104135	0.8956496624470859
$jc^p$	2.977901486142769	0.6548386501476463	4.388634080871764	0.47859425534426203
$jc^f$	2.0706730430191382	0.4296692692726324	2.5527991490863315	0.4121551099067058
$\frac{\mu^f}{\mu}$	0.5580134494302625	-0.4625352311569802	0.8121833361411356	-0.38693420719065835
$\frac{n^f}{n}$	0.8252104772879573	0.09411734679889856	1.0072222450943973	0.2432896929179241
Endogenous $jd^p$	3.146356530790048	-0.5932771373950546	6.9851764008284425	-0.6084878298775643
$jd^f$	1.3169872920386811	0.3808980662461518	1.1195931430052588	-0.035772427514866444
$v$	6.497304698363294	0.8651706571776312	3.6217581246489057	0.491134828180254
