sex,age,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 
T,Y25-64,PC,FI	11 	10 	: 	10 	11 	10 	11 
T,Y25-64,PC,FR	7 	7 	: 	7 	8 	7 	7 
T,Y25-64,PC,HR	9 	10 	: 	: 	: 	: 	2 
T,Y25-64,PC,HU	18 	20 	: 	7 	6 	7 	5 
T,Y25-64,PC,IE	9 	8 	: 	9 	7 	9 	7 
T,Y25-64,PC,IT	7 	8 	: 	9 	9 	7 	9 
T,Y25-64,PC,LT	19 	23 	: 	16 	21 	17 	15 
T,Y25-64,PC,LV	52 	53 	: 	41 	42 	29 	21 
T,Y25-64,PC,MK	: 	33 	: 	31 	29 	27 	35 
T,Y25-64,PC,MT	15 	7 	: 	: 	7 	9 	: 
T,Y25-64,PC,NL	17 	16 	: 	7 	7 	7 	8 
T,Y25-64,PC,NO	23 	23 	: 	25 	20 	25 	26 
T,Y25-64,PC,PL	4 	4 	: 	3 	7 	6 	9 
T,Y25-64,PC,PT	19 	18 	: 	17 	18 	17 	19 
T,Y25-64,PC,RO	18 	18 	: 	23 	18 	21 	22 
T,Y25-64,PC,SE	14 	14 	: 	12 	11 	13 	14 
T,Y25-64,PC,SI	20 	22 	: 	18 	25 	23 	20 
T,Y25-64,PC,SK	6 	4 	: 	4 	3 	4 	4 
T,Y25-64,PC,TR	20 	18 	: 	18 	18 	18 	18 
T,Y25-64,PC,UK	14 	12 	: 	12 	13 	13 	11 
T,Y40-64,PC,AT	12 	10 	11 	9 	11 	11 	9 
T,Y40-64,PC,BG	11 	14 	13 	10 	10 	11 	14 
T,Y40-64,PC,CH	32 	32 	35 	33 	36 	38 	37 
T,Y40-64,PC,CY	1 	3 	3 	3 	1 	1 	1 
T,Y40-64,PC,CZ	9 	9 	8 	6 	5 	6 	7 
T,Y40-64,PC,DK	30 	24 	43 	44 	35 	31 	36 
T,Y40-64,PC,EE	41 	28 	41 	32 	13 	17 	19 
T,Y40-64,PC,EL	1 	1 	1 	1 	1 	1 	1 
T,Y40-64,PC,ES	8 	7 	8 	7 	7 	8 	8 
T,Y40-64,PC,FI	9 	10 	8 	9 	10 	9 	11 
T,Y40-64,PC,FR	6 	7 	6 	8 	7 	6 	6 
T,Y40-64,PC,HR	6 	10 	2 	: 	: 	: 	: 
T,Y40-64,PC,HU	16 	17 	4 	6 	5 	5 	3 
T,Y40-64,PC,IE	7 	7 	8 	7 	6 	7 	7 
T,Y40-64,PC,IT	7 	8 	9 	9 	9 	7 	9 
T,Y40-64,PC,LT	16 	19 	19 	12 	17 	17 	12 
T,Y40-64,PC,LV	49 	45 	32 	32 	38 	24 	17 
T,Y40-64,PC,MK	: 	31 	40 	25 	29 	26 	37 
T,Y40-64,PC,MT	6 	: 	: 	: 	: 	: 	: 
T,Y40-64,PC,NL	16 	16 	18 	8 	8 	8 	8 
T,Y40-64,PC,NO	25 	26 	23 	22 	19 	27 	28 
T,Y40-64,PC,PL	4 	3 	4 	3 	6 	6 	8 
T,Y40-64,PC,PT	22 	20 	20 	19 	21 	19 	22 
T,Y40-64,PC,RO	17 	23 	: 	23 	18 	22 	26 
T,Y40-64,PC,SE	12 	12 	11 	12 	10 	11 	12 
T,Y40-64,PC,SI	21 	25 	16 	20 	24 	24 	18 
T,Y40-64,PC,SK	5 	2 	4 	3 	2 	2 	3 
T,Y40-64,PC,TR	20 	16 	18 	17 	18 	16 	15 
T,Y40-64,PC,UK	14 	12 	14 	11 	12 	13 	12 
