sex,age,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 
F,Y25-39,PC,AT	12 	14 	13 	10 	12 	14 	13 
F,Y25-39,PC,BG	19 	14 	17 	17 	12 	18 	17 
F,Y25-39,PC,CH	18 	17 	22 	18 	22 	21 	24 
F,Y25-39,PC,CY	3 	4 	3 	5 	: 	: 	: 
F,Y25-39,PC,CZ	11 	10 	9 	10 	11 	9 	12 
F,Y25-39,PC,DK	27 	17 	40 	36 	35 	28 	27 
F,Y25-39,PC,EE	52 	28 	52 	: 	40 	44 	41 
F,Y25-39,PC,EL	1 	2 	: 	1 	1 	1 	1 
F,Y25-39,PC,ES	7 	7 	7 	6 	6 	7 	7 
F,Y25-39,PC,FI	10 	9 	9 	8 	11 	10 	9 
F,Y25-39,PC,FR	8 	7 	6 	8 	9 	8 	7 
F,Y25-39,PC,HR	11 	11 	: 	: 	: 	: 	: 
F,Y25-39,PC,HU	18 	24 	7 	10 	8 	10 	5 
F,Y25-39,PC,IE	11 	11 	10 	10 	9 	8 	8 
F,Y25-39,PC,IT	6 	8 	8 	8 	7 	6 	9 
F,Y25-39,PC,LT	44 	42 	34 	: 	28 	: 	: 
F,Y25-39,PC,LV	60 	45 	60 	69 	61 	32 	28 
F,Y25-39,PC,MK	: 	39 	57 	41 	34 	30 	36 
F,Y25-39,PC,NL	16 	16 	17 	7 	6 	7 	7 
F,Y25-39,PC,NO	19 	21 	21 	23 	20 	23 	24 
F,Y25-39,PC,PL	6 	3 	3 	3 	7 	6 	9 
F,Y25-39,PC,PT	15 	14 	14 	13 	15 	15 	16 
F,Y25-39,PC,RO	18 	17 	: 	32 	14 	25 	20 
F,Y25-39,PC,SE	14 	16 	14 	12 	11 	12 	13 
F,Y25-39,PC,SI	17 	16 	15 	18 	21 	17 	15 
F,Y25-39,PC,SK	8 	5 	5 	6 	5 	5 	5 
F,Y25-39,PC,TR	20 	16 	15 	16 	13 	18 	13 
F,Y25-39,PC,UK	11 	14 	16 	13 	12 	14 	11 
F,Y25-64,PC,AT	12 	13 	12 	10 	12 	13 	12 
F,Y25-64,PC,BG	15 	14 	16 	13 	11 	14 	17 
F,Y25-64,PC,CH	21 	22 	25 	23 	26 	26 	28 
F,Y25-64,PC,CY	2 	3 	3 	4 	1 	: 	1 
F,Y25-64,PC,CZ	10 	9 	9 	8 	8 	7 	9 
F,Y25-64,PC,DK	26 	18 	40 	38 	35 	29 	30 
F,Y25-64,PC,EE	42 	37 	48 	36 	23 	33 	34 
F,Y25-64,PC,EL	1 	2 	0 	1 	1 	0 	1 
F,Y25-64,PC,ES	7 	7 	8 	7 	7 	7 	8 
F,Y25-64,PC,FI	9 	9 	8 	8 	10 	10 	10 
F,Y25-64,PC,FR	7 	7 	7 	8 	8 	7 	7 
F,Y25-64,PC,HR	9 	10 	: 	: 	: 	: 	: 
F,Y25-64,PC,HU	17 	20 	6 	8 	7 	8 	5 
F,Y25-64,PC,IE	10 	9 	8 	9 	8 	8 	7 
F,Y25-64,PC,IT	6 	7 	8 	8 	8 	6 	9 
F,Y25-64,PC,LT	28 	30 	31 	17 	20 	16 	18 
F,Y25-64,PC,LV	49 	42 	40 	42 	47 	26 	19 
F,Y25-64,PC,MK	: 	38 	55 	38 	34 	29 	38 
F,Y25-64,PC,MT	17 	: 	: 	: 	: 	14 	: 
F,Y25-64,PC,NL	16 	16 	18 	8 	7 	8 	8 
F,Y25-64,PC,NO	20 	21 	22 	22 	19 	24 	24 
F,Y25-64,PC,PL	5 	3 	4 	3 	7 	6 	9 
F,Y25-64,PC,PT	19 	17 	18 	16 	17 	18 	19 
F,Y25-64,PC,RO	18 	22 	: 	27 	17 	24 	21 
F,Y25-64,PC,SE	13 	14 	13 	12 	10 	12 	12 
F,Y25-64,PC,SI	18 	18 	15 	17 	21 	19 	16 
F,Y25-64,PC,SK	6 	3 	5 	5 	3 	4 	3 
F,Y25-64,PC,TR	17 	15 	14 	14 	13 	15 	12 
F,Y25-64,PC,UK	13 	12 	15 	12 	12 	13 	11 
F,Y40-64,PC,AT	12 	11 	12 	10 	12 	11 	9 
F,Y40-64,PC,BG	12 	13 	15 	9 	10 	11 	17 
F,Y40-64,PC,CH	28 	31 	30 	31 	32 	34 	34 
F,Y40-64,PC,CY	: 	2 	2 	2 	: 	: 	: 
F,Y40-64,PC,CZ	9 	8 	8 	5 	5 	5 	7 
F,Y40-64,PC,DK	26 	19 	41 	40 	36 	32 	36 
F,Y40-64,PC,EE	33 	43 	42 	40 	: 	: 	: 
F,Y40-64,PC,EL	1 	1 	: 	1 	1 	: 	: 
F,Y40-64,PC,ES	8 	7 	8 	7 	9 	9 	10 
F,Y40-64,PC,FI	8 	9 	7 	8 	10 	9 	10 
F,Y40-64,PC,FR	7 	7 	7 	8 	8 	6 	6 
F,Y40-64,PC,HR	5 	9 	: 	: 	: 	: 	: 
F,Y40-64,PC,HU	16 	17 	4 	7 	6 	5 	4 
F,Y40-64,PC,IE	8 	6 	6 	7 	6 	8 	7 
F,Y40-64,PC,IT	6 	6 	8 	8 	9 	7 	9 
F,Y40-64,PC,LT	14 	20 	29 	: 	14 	17 	18 
F,Y40-64,PC,LV	40 	40 	26 	29 	36 	23 	14 
F,Y40-64,PC,MK	: 	35 	50 	34 	35 	27 	42 
F,Y40-64,PC,NL	15 	16 	18 	9 	9 	9 	8 
F,Y40-64,PC,NO	24 	22 	23 	20 	18 	24 	25 
F,Y40-64,PC,PL	4 	3 	4 	3 	7 	6 	7 
F,Y40-64,PC,PT	23 	22 	23 	21 	22 	21 	24 
F,Y40-64,PC,RO	18 	28 	: 	20 	22 	21 	23 
F,Y40-64,PC,SE	12 	11 	11 	11 	9 	11 	10 
F,Y40-64,PC,SI	21 	20 	17 	17 	20 	22 	17 
F,Y40-64,PC,SK	5 	2 	4 	3 	2 	3 	2 
F,Y40-64,PC,TR	14 	13 	13 	13 	14 	11 	10 
F,Y40-64,PC,UK	14 	11 	14 	12 	13 	12 	11 
M,Y25-39,PC,AT	10 	12 	12 	10 	11 	11 	14 
M,Y25-39,PC,BG	12 	16 	20 	21 	15 	15 	20 
M,Y25-39,PC,CH	20 	14 	18 	21 	23 	24 	26 
M,Y25-39,PC,CY	4 	6 	7 	5 	6 	3 	4 
M,Y25-39,PC,CZ	13 	13 	11 	10 	10 	12 	13 
M,Y25-39,PC,DK	30 	27 	40 	40 	40 	32 	31 
M,Y25-39,PC,EE	20 	34 	36 	: 	: 	30 	: 
M,Y25-39,PC,EL	1 	2 	1 	1 	1 	: 	1 
M,Y25-39,PC,ES	8 	7 	7 	6 	6 	7 	7 
M,Y25-39,PC,FI	14 	13 	10 	14 	13 	12 	14 
M,Y25-39,PC,FR	7 	7 	7 	6 	9 	8 	8 
M,Y25-39,PC,HR	9 	10 	2 	: 	: 	: 	: 
M,Y25-39,PC,HU	22 	25 	7 	8 	7 	7 	7 
M,Y25-39,PC,IE	9 	8 	8 	11 	7 	12 	7 
M,Y25-39,PC,IT	8 	9 	11 	10 	9 	8 	10 
M,Y25-39,PC,LT	: 	: 	: 	18 	28 	: 	19 
M,Y25-39,PC,LV	52 	81 	78 	54 	44 	41 	28 
M,Y25-39,PC,MK	: 	32 	32 	31 	25 	27 	32 
M,Y25-39,PC,MT	: 	: 	1 	: 	: 	: 	: 
M,Y25-39,PC,NL	19 	18 	19 	7 	7 	7 	9 
M,Y25-39,PC,NO	26 	24 	26 	34 	22 	25 	28 
M,Y25-39,PC,PL	4 	5 	4 	3 	7 	6 	9 
M,Y25-39,PC,PT	18 	19 	17 	17 	18 	16 	18 
M,Y25-39,PC,RO	20 	14 	: 	19 	20 	18 	17 
M,Y25-39,PC,SE	16 	16 	14 	14 	14 	15 	17 
M,Y25-39,PC,SI	24 	24 	22 	18 	30 	29 	28 
M,Y25-39,PC,SK	8 	5 	8 	4 	4 	4 	7 
M,Y25-39,PC,TR	22 	21 	21 	20 	21 	21 	22 
M,Y25-39,PC,UK	17 	10 	14 	12 	14 	13 	11 
M,Y25-64,PC,AT	10 	10 	12 	10 	10 	11 	12 
M,Y25-64,PC,BG	11 	15 	16 	14 	12 	12 	15 
M,Y25-64,PC,CH	25 	21 	26 	26 	29 	31 	31 
M,Y25-64,PC,CY	4 	6 	6 	5 	5 	3 	4 
M,Y25-64,PC,CZ	11 	12 	9 	8 	8 	10 	11 
M,Y25-64,PC,DK	32 	29 	42 	44 	37 	31 	33 
M,Y25-64,PC,EE	34 	26 	38 	27 	13 	20 	17 
M,Y25-64,PC,EL	1 	2 	1 	1 	1 	1 	1 
M,Y25-64,PC,ES	8 	7 	7 	6 	6 	7 	7 
M,Y25-64,PC,FI	13 	12 	10 	13 	12 	11 	13 
M,Y25-64,PC,FR	7 	7 	6 	7 	8 	7 	8 
M,Y25-64,PC,HR	9 	11 	2 	: 	: 	: 	: 
M,Y25-64,PC,HU	18 	20 	5 	6 	6 	6 	5 
M,Y25-64,PC,IE	8 	8 	9 	9 	6 	10 	6 
M,Y25-64,PC,IT	8 	9 	10 	10 	10 	8 	10 
M,Y25-64,PC,LT	15 	14 	15 	14 	22 	17 	14 
M,Y25-64,PC,LV	54 	60 	53 	41 	42 	31 	23 
M,Y25-64,PC,MK	: 	30 	33 	26 	26 	27 	33 
M,Y25-64,PC,MT	12 	10 	1 	: 	: 	: 	: 
M,Y25-64,PC,NL	18 	17 	19 	7 	7 	7 	8 
M,Y25-64,PC,NO	27 	26 	26 	32 	23 	28 	30 
M,Y25-64,PC,PL	4 	4 	4 	3 	6 	6 	8 
M,Y25-64,PC,PT	19 	19 	17 	17 	19 	16 	19 
M,Y25-64,PC,RO	18 	17 	: 	21 	18 	20 	22 
M,Y25-64,PC,SE	14 	14 	13 	13 	13 	14 	15 
M,Y25-64,PC,SI	23 	25 	20 	20 	29 	27 	26 
M,Y25-64,PC,SK	6 	4 	6 	3 	3 	3 	5 
M,Y25-64,PC,TR	22 	19 	20 	19 	20 	19 	19 
M,Y25-64,PC,UK	15 	12 	14 	12 	13 	13 	11 
M,Y40-64,PC,AT	10 	8 	10 	10 	10 	10 	9 
M,Y40-64,PC,BG	10 	14 	12 	10 	9 	10 	12 
M,Y40-64,PC,CH	36 	33 	40 	35 	39 	42 	41 
M,Y40-64,PC,CY	: 	6 	5 	4 	: 	: 	: 
M,Y40-64,PC,CZ	9 	10 	7 	7 	6 	7 	8 
M,Y40-64,PC,DK	36 	32 	45 	50 	33 	31 	35 
M,Y40-64,PC,EE	49 	: 	42 	27 	14 	: 	: 
M,Y40-64,PC,EL	1 	1 	1 	: 	1 	1 	1 
M,Y40-64,PC,ES	8 	6 	7 	6 	6 	6 	6 
M,Y40-64,PC,FI	10 	11 	9 	12 	10 	10 	12 
M,Y40-64,PC,FR	6 	6 	5 	8 	6 	6 	6 
M,Y40-64,PC,HR	7 	12 	: 	: 	: 	: 	: 
M,Y40-64,PC,HU	15 	17 	4 	5 	5 	5 	3 
M,Y40-64,PC,IE	6 	7 	9 	7 	5 	7 	6 
M,Y40-64,PC,IT	8 	10 	9 	9 	11 	7 	10 
M,Y40-64,PC,LT	19 	18 	: 	12 	18 	16 	9 
M,Y40-64,PC,LV	56 	48 	36 	34 	40 	26 	20 
M,Y40-64,PC,MK	: 	28 	34 	20 	26 	26 	34 
M,Y40-64,PC,NL	17 	15 	18 	7 	7 	7 	7 
M,Y40-64,PC,NO	28 	31 	25 	28 	24 	34 	34 
M,Y40-64,PC,PL	4 	4 	4 	3 	6 	5 	8 
M,Y40-64,PC,PT	20 	19 	18 	18 	20 	17 	20 
M,Y40-64,PC,RO	16 	20 	: 	25 	16 	22 	28 
M,Y40-64,PC,SE	13 	12 	11 	13 	11 	11 	13 
M,Y40-64,PC,SI	22 	29 	16 	22 	29 	25 	20 
M,Y40-64,PC,SK	5 	3 	4 	2 	2 	2 	3 
M,Y40-64,PC,TR	22 	17 	19 	18 	19 	17 	16 
M,Y40-64,PC,UK	14 	14 	14 	11 	12 	13 	12 
T,Y25-39,PC,AT	11 	13 	13 	10 	11 	13 	14 
T,Y25-39,PC,BG	15 	16 	18 	19 	14 	16 	19 
T,Y25-39,PC,CH	19 	16 	20 	20 	22 	22 	25 
T,Y25-39,PC,CY	4 	5 	5 	5 	2 	2 	1 
T,Y25-39,PC,CZ	12 	11 	10 	10 	10 	11 	12 
T,Y25-39,PC,DK	28 	21 	40 	38 	37 	29 	29 
T,Y25-39,PC,EE	35 	31 	41 	29 	26 	34 	26 
T,Y25-39,PC,EL	1 	2 	1 	1 	1 	0 	1 
T,Y25-39,PC,ES	7 	7 	7 	6 	6 	7 	7 
T,Y25-39,PC,FI	12 	11 	9 	10 	12 	11 	11 
T,Y25-39,PC,FR	7 	7 	6 	7 	9 	8 	8 
T,Y25-39,PC,HR	10 	10 	2 	: 	: 	: 	3 
T,Y25-39,PC,HU	20 	24 	7 	9 	7 	8 	6 
T,Y25-39,PC,IE	10 	10 	9 	10 	8 	10 	7 
T,Y25-39,PC,IT	7 	8 	9 	9 	8 	7 	10 
T,Y25-39,PC,LT	22 	28 	27 	22 	28 	17 	18 
T,Y25-39,PC,LV	56 	66 	70 	60 	48 	39 	28 
T,Y25-39,PC,MK	: 	34 	42 	35 	28 	28 	34 
T,Y25-39,PC,MT	22 	: 	2 	: 	: 	12 	: 
T,Y25-39,PC,NL	18 	17 	18 	7 	7 	7 	8 
T,Y25-39,PC,NO	22 	22 	23 	27 	21 	24 	25 
T,Y25-39,PC,PL	5 	4 	3 	3 	7 	6 	9 
T,Y25-39,PC,PT	16 	16 	16 	15 	16 	16 	17 
T,Y25-39,PC,RO	20 	15 	: 	23 	18 	20 	18 
T,Y25-39,PC,SE	15 	16 	14 	13 	12 	14 	15 
T,Y25-39,PC,SI	20 	20 	18 	18 	25 	22 	21 
T,Y25-39,PC,SK	8 	5 	7 	5 	4 	5 	6 
T,Y25-39,PC,TR	21 	20 	20 	19 	19 	20 	20 
T,Y25-39,PC,UK	14 	12 	15 	13 	13 	13 	11 
T,Y25-64,PC,AT	11 	12 	: 	10 	11 	12 	12 
T,Y25-64,PC,BG	13 	14 	: 	14 	12 	13 	16 
T,Y25-64,PC,CH	23 	22 	: 	25 	28 	28 	30 
T,Y25-64,PC,CY	3 	4 	: 	4 	2 	1 	1 
T,Y25-64,PC,CZ	11 	10 	: 	8 	8 	8 	10 
T,Y25-64,PC,DK	29 	22 	: 	40 	36 	30 	32 
T,Y25-64,PC,EE	38 	29 	: 	30 	18 	25 	22 
T,Y25-64,PC,EL	1 	2 	: 	1 	1 	1 	1 
T,Y25-64,PC,ES	8 	7 	: 	7 	7 	7 	8 
