emp_cont,sex,age,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 
LTD,F,Y25-54,PC_EMP,SE	5 	5 	6 	6 	7 	7 	6 
LTD,F,Y25-54,PC_EMP,SI	9 	8 	9 	8 	9 	7 	9 
LTD,F,Y25-54,PC_EMP,SK	4 	3 	6 	6 	5 	8 	4 
LTD,F,Y25-54,PC_EMP,TR	10 	13 	10 	9 	7 	6 	4 
LTD,F,Y25-54,PC_EMP,UK	2 	2 	3 	2 	4 	3 	4 
LTD,F,Y55-74,PC_EMP,AT	4 	7 	: 	: 	: 	6 	: 
LTD,F,Y55-74,PC_EMP,BG	5 	6 	6 	10 	9 	9 	: 
LTD,F,Y55-74,PC_EMP,CH	6 	7 	5 	3 	6 	4 	4 
LTD,F,Y55-74,PC_EMP,CY	14 	12 	: 	15 	13 	: 	11 
LTD,F,Y55-74,PC_EMP,CZ	1 	1 	2 	2 	2 	3 	2 
LTD,F,Y55-74,PC_EMP,DK	6 	8 	9 	8 	12 	11 	8 
LTD,F,Y55-74,PC_EMP,EL	11 	12 	5 	8 	7 	18 	8 
LTD,F,Y55-74,PC_EMP,ES	10 	13 	13 	13 	13 	16 	12 
LTD,F,Y55-74,PC_EMP,FI	7 	8 	8 	9 	10 	10 	10 
LTD,F,Y55-74,PC_EMP,FR	5 	6 	6 	6 	7 	5 	6 
LTD,F,Y55-74,PC_EMP,HU	3 	3 	4 	5 	4 	6 	6 
LTD,F,Y55-74,PC_EMP,IE	: 	: 	4 	3 	4 	4 	3 
LTD,F,Y55-74,PC_EMP,IT	7 	5 	5 	6 	4 	5 	3 
LTD,F,Y55-74,PC_EMP,LT	: 	14 	: 	: 	15 	: 	: 
LTD,F,Y55-74,PC_EMP,NL	3 	4 	5 	4 	3 	3 	3 
LTD,F,Y55-74,PC_EMP,NO	3 	3 	: 	: 	4 	: 	: 
LTD,F,Y55-74,PC_EMP,PL	2 	2 	3 	2 	3 	3 	3 
LTD,F,Y55-74,PC_EMP,PT	6 	6 	9 	7 	9 	8 	7 
LTD,F,Y55-74,PC_EMP,SE	5 	5 	6 	6 	6 	6 	6 
LTD,F,Y55-74,PC_EMP,SI	: 	: 	: 	: 	: 	5 	7 
LTD,F,Y55-74,PC_EMP,SK	2 	2 	3 	3 	3 	3 	2 
LTD,F,Y55-74,PC_EMP,UK	2 	3 	2 	2 	3 	2 	3 
LTD,M,Y15-24,PC_EMP,AT	3 	3 	3 	3 	3 	3 	3 
LTD,M,Y15-24,PC_EMP,BG	4 	: 	9 	4 	8 	13 	12 
LTD,M,Y15-24,PC_EMP,CH	3 	3 	2 	3 	3 	3 	3 
LTD,M,Y15-24,PC_EMP,CY	: 	9 	10 	9 	10 	11 	7 
LTD,M,Y15-24,PC_EMP,CZ	2 	3 	5 	4 	4 	7 	6 
LTD,M,Y15-24,PC_EMP,DK	4 	3 	3 	5 	5 	4 	4 
LTD,M,Y15-24,PC_EMP,EE	: 	26 	: 	: 	: 	18 	: 
LTD,M,Y15-24,PC_EMP,EL	7 	10 	10 	10 	14 	11 	9 
LTD,M,Y15-24,PC_EMP,ES	12 	14 	16 	16 	18 	18 	17 
LTD,M,Y15-24,PC_EMP,FI	7 	6 	8 	10 	8 	8 	9 
LTD,M,Y15-24,PC_EMP,FR	9 	9 	10 	9 	9 	10 	10 
LTD,M,Y15-24,PC_EMP,HR	10 	12 	8 	9 	10 	14 	: 
LTD,M,Y15-24,PC_EMP,HU	5 	5 	6 	8 	10 	8 	9 
LTD,M,Y15-24,PC_EMP,IE	5 	4 	6 	5 	4 	6 	6 
LTD,M,Y15-24,PC_EMP,IT	6 	8 	7 	9 	7 	10 	6 
LTD,M,Y15-24,PC_EMP,LT	: 	: 	: 	: 	: 	14 	: 
LTD,M,Y15-24,PC_EMP,LV	: 	: 	: 	: 	: 	: 	17 
LTD,M,Y15-24,PC_EMP,MK	: 	16 	17 	12 	7 	28 	13 
LTD,M,Y15-24,PC_EMP,NL	3 	3 	3 	3 	5 	4 	4 
LTD,M,Y15-24,PC_EMP,NO	4 	6 	4 	5 	4 	4 	4 
LTD,M,Y15-24,PC_EMP,PL	4 	3 	3 	4 	5 	5 	4 
LTD,M,Y15-24,PC_EMP,PT	6 	6 	7 	8 	7 	10 	9 
LTD,M,Y15-24,PC_EMP,SE	5 	6 	6 	9 	8 	8 	7 
LTD,M,Y15-24,PC_EMP,SI	2 	5 	5 	9 	5 	7 	5 
LTD,M,Y15-24,PC_EMP,SK	5 	4 	6 	3 	6 	7 	7 
LTD,M,Y15-24,PC_EMP,TR	11 	12 	12 	12 	11 	12 	12 
LTD,M,Y15-24,PC_EMP,UK	3 	4 	6 	5 	9 	7 	8 
LTD,M,Y15-74,PC_EMP,AT	6 	6 	6 	6 	7 	6 	6 
LTD,M,Y15-74,PC_EMP,BG	4 	7 	7 	6 	10 	12 	11 
LTD,M,Y15-74,PC_EMP,CH	8 	7 	6 	7 	7 	7 	6 
LTD,M,Y15-74,PC_EMP,CY	12 	11 	9 	12 	8 	9 	9 
LTD,M,Y15-74,PC_EMP,CZ	3 	3 	4 	5 	5 	6 	6 
LTD,M,Y15-74,PC_EMP,DK	9 	5 	7 	9 	13 	12 	13 
LTD,M,Y15-74,PC_EMP,EE	: 	21 	17 	: 	14 	24 	15 
LTD,M,Y15-74,PC_EMP,EL	9 	12 	8 	11 	12 	14 	13 
LTD,M,Y15-74,PC_EMP,ES	13 	14 	16 	18 	19 	20 	18 
LTD,M,Y15-74,PC_EMP,FI	10 	7 	12 	11 	11 	10 	11 
LTD,M,Y15-74,PC_EMP,FR	9 	10 	12 	12 	13 	12 	11 
LTD,M,Y15-74,PC_EMP,HR	7 	7 	5 	7 	6 	6 	10 
LTD,M,Y15-74,PC_EMP,HU	4 	4 	5 	6 	7 	7 	10 
LTD,M,Y15-74,PC_EMP,IE	8 	5 	7 	7 	7 	8 	8 
LTD,M,Y15-74,PC_EMP,IT	8 	7 	8 	7 	8 	7 	6 
LTD,M,Y15-74,PC_EMP,LT	20 	17 	15 	17 	17 	15 	27 
LTD,M,Y15-74,PC_EMP,LV	11 	7 	12 	14 	15 	19 	13 
LTD,M,Y15-74,PC_EMP,MK	: 	7 	12 	11 	12 	11 	10 
LTD,M,Y15-74,PC_EMP,NL	4 	4 	5 	5 	6 	5 	5 
LTD,M,Y15-74,PC_EMP,NO	6 	9 	7 	5 	6 	5 	4 
LTD,M,Y15-74,PC_EMP,PL	2 	2 	2 	3 	4 	4 	4 
LTD,M,Y15-74,PC_EMP,PT	6 	8 	8 	8 	10 	12 	10 
LTD,M,Y15-74,PC_EMP,RO	: 	: 	: 	: 	6 	4 	8 
LTD,M,Y15-74,PC_EMP,SE	6 	7 	8 	8 	8 	9 	9 
LTD,M,Y15-74,PC_EMP,SI	5 	6 	6 	7 	7 	9 	9 
LTD,M,Y15-74,PC_EMP,SK	5 	4 	6 	6 	10 	9 	8 
LTD,M,Y15-74,PC_EMP,TR	13 	14 	14 	14 	13 	13 	13 
LTD,M,Y15-74,PC_EMP,UK	3 	4 	4 	4 	5 	5 	6 
LTD,M,Y25-54,PC_EMP,AT	7 	7 	7 	7 	7 	7 	7 
LTD,M,Y25-54,PC_EMP,BG	4 	8 	7 	7 	11 	11 	12 
LTD,M,Y25-54,PC_EMP,CH	8 	7 	7 	9 	8 	9 	8 
LTD,M,Y25-54,PC_EMP,CY	11 	11 	7 	11 	8 	9 	8 
LTD,M,Y25-54,PC_EMP,CZ	3 	3 	4 	5 	5 	6 	7 
LTD,M,Y25-54,PC_EMP,DK	10 	5 	9 	10 	13 	14 	16 
LTD,M,Y25-54,PC_EMP,EE	: 	23 	: 	: 	14 	26 	: 
LTD,M,Y25-54,PC_EMP,EL	10 	11 	7 	12 	13 	14 	14 
LTD,M,Y25-54,PC_EMP,ES	12 	14 	15 	17 	18 	20 	18 
LTD,M,Y25-54,PC_EMP,FI	11 	8 	13 	11 	13 	10 	12 
LTD,M,Y25-54,PC_EMP,FR	10 	11 	13 	13 	14 	13 	12 
LTD,M,Y25-54,PC_EMP,HR	6 	5 	5 	7 	5 	6 	12 
LTD,M,Y25-54,PC_EMP,HU	4 	4 	5 	6 	7 	8 	10 
LTD,M,Y25-54,PC_EMP,IE	9 	6 	8 	7 	7 	9 	8 
LTD,M,Y25-54,PC_EMP,IT	8 	7 	8 	7 	9 	7 	6 
LTD,M,Y25-54,PC_EMP,LT	26 	17 	18 	16 	18 	15 	32 
LTD,M,Y25-54,PC_EMP,LV	14 	: 	: 	15 	14 	21 	13 
LTD,M,Y25-54,PC_EMP,MK	: 	7 	11 	10 	12 	10 	10 
LTD,M,Y25-54,PC_EMP,NL	4 	5 	5 	5 	7 	5 	6 
LTD,M,Y25-54,PC_EMP,NO	6 	11 	8 	6 	7 	6 	5 
LTD,M,Y25-54,PC_EMP,PL	2 	2 	2 	3 	4 	4 	3 
LTD,M,Y25-54,PC_EMP,PT	6 	8 	9 	8 	10 	12 	9 
LTD,M,Y25-54,PC_EMP,RO	: 	: 	: 	: 	: 	4 	10 
LTD,M,Y25-54,PC_EMP,SE	7 	8 	9 	9 	9 	10 	9 
LTD,M,Y25-54,PC_EMP,SI	6 	6 	7 	8 	7 	9 	10 
LTD,M,Y25-54,PC_EMP,SK	5 	4 	7 	7 	11 	9 	9 
LTD,M,Y25-54,PC_EMP,TR	14 	16 	16 	15 	14 	14 	14 
LTD,M,Y25-54,PC_EMP,UK	3 	4 	4 	4 	5 	5 	6 
LTD,M,Y55-74,PC_EMP,AT	6 	5 	5 	: 	7 	: 	9 
LTD,M,Y55-74,PC_EMP,BG	5 	4 	5 	6 	5 	13 	10 
LTD,M,Y55-74,PC_EMP,CH	7 	7 	5 	4 	5 	4 	4 
LTD,M,Y55-74,PC_EMP,CY	17 	11 	16 	14 	: 	: 	11 
LTD,M,Y55-74,PC_EMP,CZ	2 	3 	3 	4 	4 	4 	4 
LTD,M,Y55-74,PC_EMP,DK	9 	: 	5 	11 	18 	11 	10 
LTD,M,Y55-74,PC_EMP,EL	8 	19 	12 	10 	9 	10 	12 
LTD,M,Y55-74,PC_EMP,ES	17 	19 	18 	21 	23 	21 	20 
LTD,M,Y55-74,PC_EMP,FI	11 	5 	10 	10 	8 	11 	10 
LTD,M,Y55-74,PC_EMP,FR	7 	6 	8 	9 	8 	8 	6 
LTD,M,Y55-74,PC_EMP,HR	8 	: 	: 	: 	: 	: 	: 
LTD,M,Y55-74,PC_EMP,HU	2 	4 	5 	6 	5 	5 	6 
LTD,M,Y55-74,PC_EMP,IE	8 	4 	5 	5 	3 	5 	6 
LTD,M,Y55-74,PC_EMP,IT	9 	7 	8 	5 	7 	6 	6 
LTD,M,Y55-74,PC_EMP,LT	: 	: 	: 	: 	20 	: 	: 
LTD,M,Y55-74,PC_EMP,LV	: 	: 	: 	14 	: 	15 	13 
LTD,M,Y55-74,PC_EMP,NL	3 	3 	5 	4 	4 	4 	5 
LTD,M,Y55-74,PC_EMP,NO	: 	7 	4 	: 	6 	: 	: 
LTD,M,Y55-74,PC_EMP,PL	2 	2 	2 	3 	3 	4 	3 
LTD,M,Y55-74,PC_EMP,PT	8 	9 	7 	9 	13 	9 	12 
LTD,M,Y55-74,PC_EMP,SE	6 	7 	8 	6 	6 	7 	8 
LTD,M,Y55-74,PC_EMP,SI	: 	5 	4 	4 	: 	: 	: 
